"Titre","Source","Utilité","Date (French)","Année","Lien"
"Appel à candidatures du programme ""Transforme"" de la fondation d'entreprise Hermès","culture.gouv.fr","Autre","20 août 2024","2024","https://news.google.com/rss/articles/CBMihgJBVV95cUxOWDk1RmwtdDJKSEFLSVozVmJLd3Ixa0htMU0yM21tdnJzZkU3X25PdkxIdGwyZlVZWXRYeXB3c0tUV0xqSnlscGRpS1EtdXZERGt0T1pTUmFHVjN3QUZ0MjdyemF5ZUNlRkJ2bERoMFZGSWF5T3doME9iNGliZVB0d0NwN1hIMU1pWElHM2NSX1A5UVlua1EtZ1Z4YS1XbUFVOHV5VEV4aWo1MGlpVWZTMGhoRUtMTF92eXVXMWRyY09sQmg0d1ZzWGNPS2JsTDl1MENKTTJwbWtxS185Zk1fZ2dHbG9qX2lzaUpSbUtUcFotTzJjdFlqM0hzSExUT0h1YnZKV3VR?oc=5&hl=en-US&gl=US&ceid=US:en"
"3 questions à Olivier Fournier, président de la Fondation d’entreprise Hermès","carenews.com","Inutile","10 juin 2022","2022","https://news.google.com/rss/articles/CBMiuwFBVV95cUxONHNTam9BQlU2R2tCaVRkeDcwZXNnYWhIMFJGWndBRFV4VEtJU201ME5EMjlzTnFpZXNCdlAwZEg5RmFPVm1CNjYtWW41QUJpbXFVNDZJODlZWjg2N0Y2dnNZV0RFSERhOHpwVWMxMzU5ZnpjSVVzMEI4VFFkYTJsNzV1b3dQdWI0bUdfTDVoNUZkbkpBSkNjVm9iRzZVY09nb09EamJQZWMxdWhENFN6NURYUFpnanl5UGFF?oc=5&hl=en-US&gl=US&ceid=US:en"
"Olivier Fournier, nouveau président de la Fondation d’entreprise Hermès","lequotidiendelart.com","Autre","9 février 2016","2016","https://news.google.com/rss/articles/CBMizgFBVV95cUxPcjZFVC1DOV92WnViWDBkLVpJMERNQUpZNUQwMVpZbGgzSzV1U1hCLWs5X01VQ0h5em5zbk9XSmlEMlRWU2dsc1gwNndFWEgxVjdyOUg2VXhOVXJ0UGp6b1lqMXVJV1l4aU03VnZCSTN0a0k4X1NGTW5ybWY4dHctUDdISUowUjc3WmJkU0pNa282ZHhFaGFnSV96b1pXNzAtcmtKNFktdmI5LUc5Tm9ZbjVHckpIWlpfWHpkTHczTGNBbGROZjFsOFFrR2MtZw?oc=5&hl=en-US&gl=US&ceid=US:en"
"La Fondation d'entreprise Hermès lance Manufact'Home","metropoletpm.fr","Autre","30 avril 2020","2020","https://news.google.com/rss/articles/CBMijAFBVV95cUxNWG9jOGhFblJya2sxMktDZUdKQ2JvWXl2YTUtaXBjaTAxS0Y5OTZkMzdnQTlBdTFVWmRwUDJwazl1bnJBZVRMNjloVzl3RHJvVjVaU3MzQ3dRV3RJdndoRUE4N01wdkhkVk9BQ1ZKcEtFVnQtWHhuUERwZ25wd3JQYXR6VTRaTEx3Z2JyTg?oc=5&hl=en-US&gl=US&ceid=US:en"
"Fondation d’Entreprise Hermès, Le Geste En Héritage.","forbes.fr","Utile","4 février 2017","2017","https://news.google.com/rss/articles/CBMigwFBVV95cUxPUlpEM3NsSUQyaVJKVlczaWw1U0dJWjR4bHlFalZWeC02emdqa3c3Z2JucGRZZkNjTlV2WWw3dHViMnUyNnUzSkY0UHlzODhXM3dNSTdiUTdVR01VMFlsSGwyNGVZMVBZckctX3FJRGxabnRvckxPcFpEUnNEYU43V3FhQQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Fondation d'entreprise Hermès : 5 œuvres célèbrant des savoir-faire d'exception","numero.com","Autre","7 février 2022","2022","https://news.google.com/rss/articles/CBMiuAFBVV95cUxPbjRTQ2stTG1XRVBrRjdONW1vQXFWT3NzaTlqNXQ1NjRqTHZFU0JtUll2V0FaQkViMU5KbnRHeDItZjJNUHdsY2ItRU1UemUwZGxhR2xKUTVpMlJ1MVc3R1A2NFlhTWhSY1V6aDZ6TktLLVBPVXZ4dk4xZFl2enZadWVPaWRIYkdzeTdUM3NvSHoxLVdzQlhHSUlNaEcya1ZGb19rVFZCMmZpbWpWSmZFeFBVcVZ2WlVM?oc=5&hl=en-US&gl=US&ceid=US:en"
"La Fondation d’entreprise Hermès nomme Laurent Pejoux à sa direction","fr.fashionnetwork.com","Inutile","6 mai 2021","2021","https://news.google.com/rss/articles/CBMitwFBVV95cUxNSlAtazBuM1huNmQtSnlNSDlPTmZld3QxX0VieC1IRmxuU0xQQTJRREZjRWFYS2lKeGU2dE55ZlB3SG10RTN0T0NQSU1MY1lzdmxORE9vWHJVZXdfcE1lT3hWYTB2TEZGRlJRZmt5RXc1em1VcVRnUzhFcDd3SjB4QWJTaVVIQ2pfRUw2anJNRHlUTHp4MVVHTFFvVFJYdzBCOUdkYllkMDJ2QV9SOVhROFJkWWRsOGc?oc=5&hl=en-US&gl=US&ceid=US:en"
"À Bruxelles, la Fondation d’entreprise Hermès expose une fresque spectaculaire de Lucy McKenzie","admagazine.fr","Autre","11 février 2022","2022","https://news.google.com/rss/articles/CBMiywFBVV95cUxPWnFEWHBhWG1Ba2NPbjk5cWVrcGJzYW5jelpiWmFKc0xLQ05mQUFwbnhFdlVzRVpLQVJHSWZObkoycVpudDVKcFdjZEhiOGE5cDVfVmdFNGtwemxhTVhxN25JU0l3MFRlX2ZHdWM3SzdCME40U2dXZ25aNmplSFV6REMyWlBBVnB6blY1ZlZUQlMybU90RVMxUmRDN3JvVUJyUjhLVGFYbTJVeDBobzRBTk9Wb2dseTNvd0xtbkV2bmprbzNTNjZwWmY1VQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Les candidatures pour l’Académie des savoir-faire de la Fondation d'entreprise Hermès sont attendues !","lemondedesartisans.fr","Inutile","6 juin 2022","2022","https://news.google.com/rss/articles/CBMizgFBVV95cUxPalItVzZXYzNJdTZ2TmM3Vi1zV2M1cTI1VERjbWVLTTd2ZEl2dkFEYjlVeHM1bTkzNURTLUZ0SHRvRWhNYml4azNzRTZGRVRrZ1d4SmItcUtTUkRJbE5OVEJDLVRNOXVFZW5yWGI2OGhDdEpJUGNyb2FpYU5lY0pubnk3Uk4zZWlZS1RqRzBYSzZaVXlCSkFsUXhNVGRyUFEteXRIQ0ZWQWs1M2lYYURqMmZLRE9Ld2dLMi1PczE5czZYQlROd1diYmt5ZGJkZw?oc=5&hl=en-US&gl=US&ceid=US:en"
"Laurent Pejoux nommé directeur de la Fondation d'entreprise Hermès","artnewspaper.fr","Autre","3 mai 2021","2021","https://news.google.com/rss/articles/CBMipwFBVV95cUxPTWxIeDVBV3llVG9QR1ZKbno2bDBOWDZ6cmllOGFNMlhTZFNkZEcwZy1mLWdKa3lZWHdNRGRtQkxRdFZrRzVPQjJUNlVIREtwb2JqcWcwaW45SDQ0ZjVrek1DbldUTjFlQWdEdHVwTWtsVVpNcnpjMlo4WmlkRkhEX0luXzB1ajR1aUUtbjVFZ3R6Y01DYXdlVkZnN3AzYnAwdDQzR2FIQQ?oc=5&hl=en-US&gl=US&ceid=US:en"
